item key,name,description,price,bottle image url,label type,closure type,country,region,origin,wine type,varietal,vintage,point score,story,user rating,sale price,original url,tasting notes,winc product id,winc product code,wine product id
winc10881,2013 La Muleta Garnacha,"Very bold, full-bodied, dark and dangerous. This classic Spanish red comes with a spicy attack.",16.99,https://d207gb2bfvg73.cloudfront.net/1504653/hero@2x.jpg,MO,CO,Spain,Jumilla,"Jumilla, Spain",R,Grenache,2013,,,3.8,12.99,,,10881,1504653,
winc10880,2014 Rambutan Muscat Blanc,"Favor a glass of Zeus juice? This dry, aromatic white is one the Greeks and Romans drank.",16.99,https://d207gb2bfvg73.cloudfront.net/1504652/hero@2x.jpg,MO,CO,United States,Paso Robles,"Paso Robles, California",W,Muscat,2014,,,3.3,12.99,,,10880,1504652,
winc12128,2016 QTY® Grenache,"Hand-picked from two vineyards in El Dorado, this Grenache is refined with notes of black raspberry and earthy spice.",32.99,https://d207gb2bfvg73.cloudfront.net/17091351/hero@2x.jpg,MI,CO,United States,El Dorado,"El Dorado, California",R,Grenache,2016,,"The bottle you hold in your hands is one from only 12 barrels made. The grapes for this small-lot gem come from a mix of Camino Ridge Vineyard and Camino Alto Vineyard, both located in the high elevation AVA of El Dorado, where they received extra direct sunlight but maintained a relatively cool temperature. The Grenache underwent native fermentation before aging for nine months in neutral French oak. The result is a refined style of Grenache with notes of black raspberry and earthy spice.",4.1,27.99,,,12128,17091351,
winc12113,2016 Wonderful Wine Co.® White Blend,"Lychee, white flower and exotic spice illuminate this off-dry, aromatic white blend.",14.99,https://d207gb2bfvg73.cloudfront.net/17071337/hero@2x.jpg,WH,SC,United States,,California,W,White Blend,2016,,"This wine is a state of mind — easy-as-it-gets, friendly, sunshine in a glass. With juicy flavors of stone fruits and white flowers, this blend of Malvasia Bianca, Muscat, and Viognier is meant to brighten your day and give any moment a little dose of sweetness. It’s an off-dry white, which means it falls somewhere in between dry and sweet. It's perfect for spicy food, but also just as perfect on its own. #ItsAllWonderful",3.8,12.99,,,12113,17071337,
winc12141,2012 So This Happened® Red Blend,"After aging in French and American Oak, this red blend is ready for drinking.",14.99,https://d207gb2bfvg73.cloudfront.net/17101364/hero@2x.jpg,WH,CO,United States,,California,R,Red Blend,2012,,"In this blend, Syrah, Merlot and Zinfandel come together and intertwine ripe fruits with earthy and savory flavors. 13% of the lot was whole berry fermented, while the rest was crushed and fermented in a closed tank. This combination of winemaking techniques creates a wine with flavors of fruit leather, spice, cocoa, and even olive tapenade! The extra aging in French and American barrels allowed for all the diverse characteristics of this wine to really come together and it is now ready to be popped open. Let it accompany you on your greatest adventures...and don’t forget to tell us about it. #sothishappened",4.1,12.99,,,12141,17101364,
winc12090,2016 Cocomero® Rosé,"A California rosé with Italian roots, this Barbera is juicy and refreshing.",14.99,https://d207gb2bfvg73.cloudfront.net/17071310/hero@2x.jpg,WH,SC,United States,,California,Ro,Rosé,2016,,"Inspired by the summer treat of choice in Italy, Cocomero (which translates to watermelon in Italiano) takes a fresh California approach to classic Italian varietals. This luscious Barbera, most commonly seen in red wines, displays a refreshing red-fruit juiciness that's made for drinking chilled on a warm afternoon. Enjoy Italy’s favorite summer flavors - watermelon and wine - in one delicious glass. Preferably alfresco.",3.8,12.99,,,12090,17071310,
winc12114,"2016 Brethren of the Road ""Talk West"" Valdiguié","A unique, California-fresh spin on the unique Valdiguié grape.",19.99,https://d207gb2bfvg73.cloudfront.net/17071338/hero@2x.jpg,MO,CO,United States,Redwood Valley,"Redwood Valley, California",R,Valdiguié,2016,,"Kenny Likitprakong, the winemaking partner who created this edition of our Brethren of the Road brand, is a wanderlust-driven, self-professed “hobo winemaker” whose stint in France sparked his allegiance to minimalist, non-interventionist methods. This 2016 Valdiguie - his specialty - is no exception. Made in Mendocino, CA, it’s a savory, light red that reflects Kenny’s spirit; it’s a down-to-earth, go with the flow kind of wine that everyone can enjoy.",3.8,17.99,,,12114,17071338,
winc12077,2015 Sapore Locale Nero d’ Avola,"Drink like a true Sicilian with our balanced, fruit-forward Nero d’Avola.",14.99,https://d207gb2bfvg73.cloudfront.net/17061293/hero@2x.jpg,WH,CO,Italy,IGT Terre Siciliane,"IGT Terre Siciliane, Italy",R,Nero d'Avola,2015,,"Local flavor infuses every bottle of Sapore Locale, inspired by the Italian way of life. Once used mostly as a blender, Nero d’Avola is now popular as a single varietal and a go-to Italian table wine. This batch of iconic Sicilian grapes was grown in the southern part of Sicily, where the soil is made of clay and limestone - and known for having volcanic properties. The wine then fermented in stainless steel and was partially aged in 2-3 year old neutral oak barrels. For a little extra Sicilian flavor, look to the bottle art for ceramics by local artist Forlin Antonio of Don Corleone.",4.0,12.99,,,12077,17061293,
winc12076,2016 Forma de Vida® Verdelho,"This light, fruity Verdelho is a must-try for white wine drinkers.",19.99,https://d207gb2bfvg73.cloudfront.net/17061292/hero@2x.jpg,WH,CO,United States,Lodi,"Lodi, California",W,Verdelho,2016,,"Forma de Vida - or ‘way of life’ in Spanish - is an expression of the Markus and Liz Bokisch approach to winemaking. From the sustainable vineyards where Markus grows world-renowned Spanish varietals to their country kitchen where Liz pairs them with perfect homemade recipes, Bokisch wines are a special reflection of their lives, and some of the most renowned California renditions of Spanish varietals. Salut to this bright, perfumed Verdelho.",3.9,16.99,,,12076,17061292,
winc12063,2016 Porter & Plot® Rosé,"At only 195 cases, this limited production rosé blend is elegant and refined.",27.99,https://d207gb2bfvg73.cloudfront.net/17041282/hero@2x.jpg,MI,CO,United States,North Coast,"North Coast, California",Ro,Rosé,2016,,"By focusing on small-lot wines, Porter & Plot® showcases the unique, nuanced individuality of California’s most exceptional vineyards and appellations. This predominantly Pinot Noir, Grenache and Carignane blend is a compilation of grape varieties from small, premium vineyards among various sub-appellations of the North Coast (like Napa and Sonoma). It was made using the Saignée method, where a portion of juice was pressed off from each lot of red wine grapes early on, allowing minimal skin contact, and the resulting blend was fermented in neutral barrels. While still fruity, refreshing, and perfect for a warm day, this rosé has a little more texture than most, and can stand up to a more hearty meal.",4.3,23.99,,,12063,17041282,
winc12042,2016 Summer Water® Rosé,"Summer Water is more than the rosé of the season, it’s a state of mind - every drop full of pink-tinted possibility.",18.99,https://d207gb2bfvg73.cloudfront.net/17031259/hero@2x.jpg,WH,SC,United States,Central Coast,"Central Coast, California",Ro,Rosé,2016,,"This dry rosé reflects the pale pink dream world of our partners, Yes Way Rosé. It’s perfectly crisp, lighthearted and destined for a good time. The grapes for this Central Coast Grenache and Syrah blend were picked early in the season to achieve a natural acidity that’s ideal for summer drinking. To ensure as little extraction from the skins as possible, we used the direct press method, retaining the delicate fruit aromas and pale color rosé is known for. The result is light, crisp and dry - with notes of strawberry, pink grapefruit and white peach. Drink it chilled with the ones you love. Summer-friendly fare like shellfish, ceviche and salads will pair swimmingly.",4.0,16.99,,,12042,17031259,
winc12019,2016 One from The Quiver® Malbec,"One taste of this refined, fruit-forward Malbec, and you’ll understand why Mendoza is so famous for this grape.",14.99,https://d207gb2bfvg73.cloudfront.net/16121243/hero@2x.jpg,MO,CO,Argentina,Mendoza,"Mendoza, Argentina",R,Malbec,2016,,"One from the Quiver is winemaker (and Winc Chief Wine Officer) Brian Smith’s love letter to Argentina. Smith’s focus on balance, sourcing the best fruit available and picking it at the optimal time have created a Malbec that brilliantly showcases the country’s most popular varietal as well as its most prolific winemaking region: Mendoza. Sweet spice and sunbaked earth on the nose combine with cherry on the palate for authentic Argentina in a bottle. Drink it with the national staple: meat.",3.9,12.99,,,12019,16121243,
winc12048,2015 Chop Shop® Reserve Cabernet Sauvignon,"Superior-grade Cab with extra-bold juiciness, powerful flavor, dusty tannins, and nuanced complexity.",28.99,https://d207gb2bfvg73.cloudfront.net/17021148/hero@2x.jpg,MI,CO,United States,Redwood Valley,"Redwood Valley, California",R,Cabernet Sauvignon,2015,,"If you enjoyed our crowd-pleasing Chop Shop Cabernet Sauvignon, you can’t go wrong with its sophisticated older sibling, Chop Shop Reserve. Aged in neutral French oak for nine months, this Redwood Valley Cab has complex character with handsome notes of cedar and earth. The region is known for its red soil which adds depth to the wine, while it's cooler climate ensures gradual, even ripening that results in a smooth and elegant expression. Notes of red fruits, menthol and licorice come through on the palate, making it the perfectly robust companion to a steak dinner.",4.4,24.99,,,12048,17021148,
winc12018,2015 Chop Shop® Cabernet Sauvignon,"Your go-to meat wine. Chop Shop is a juicy, complex, full-bodied Cabernet that pairs with burgers and prime cuts alike.",14.99,https://d207gb2bfvg73.cloudfront.net/17101242/hero@2x.jpg,MO,CO,United States,,California,R,Cabernet Sauvignon,2015,,"For the new vintage of this crowd-pleasing Cab, we harvested the grapes at night to make sure they were as cold as possible upon reaching the winery, then fermented the juice in stainless steel and aged the wine in French oak to give the final product structure and subtle undertones of pepper and earth. Complex flavors of black cherry, leather and tobacco are balanced by hints of cocoa and violet. Pop a bottle of this full-bodied Chop Shop anytime you’re in the mood for a delicious, reliable red, and pair it with any meat dish - or drink it solo.",4.2,12.99,,,12018,17101242,
winc11998,2016 Easy Peasy Lemon Squeezy Sauvignon Blanc,"A crisp, refreshing, people-pleasing wine from Marlborough, New Zealand’s most celebrated Sauvignon Blanc region.",14.99,https://d207gb2bfvg73.cloudfront.net/16111226/hero@2x.jpg,WH,SC,New Zealand,Marlborough,"Marlborough, New Zealand",W,Sauvignon Blanc,2016,,"How did a humble island nation the size of Wyoming make such an unexpected splash on the wine scene a decade ago? New Zealand spotlighted its “raw materials” of soil and Pacific sun to create Sauvignon Blancs that were so likeably clean, refreshing and well-priced, wine lovers everywhere rejoiced. The grape’s epicenter is Marlborough, a sunny-yet-cool maritime region where our 2016 Easy Peasy Lemon Squeezy originated. Harvested from a single family-owned estate, a stone’s throw from where “Lord of the Rings” was filmed, this wine’s ample charms could make Gollum smile. Aged in stainless steel, our Sauvignon Blanc boasts a pleasant minerality and a well-balanced acidity that is gifted from the cool Kiwi climate. This isn’t the Old World-style Sauvignon Blanc you find in Bordeaux; its intensity of flavors will surely enchant a wide array of guests. On the nose you’ll find hints of light citrus, stone fruit and tropical fruit, as well as grassy notes. Let your Easy Peasy Lemon Squeezy share the table with oysters, crab and avocado salad, or asparagus. Our first vintage of this brand was a resounding hit, so we expect this 2016 vintage to deliver the same playful joy!",3.9,12.99,,,11998,16111226,
winc11952,2015 Nouvelle Ère Bordeaux Blend,"Introducing a new era of Bordeaux, thanks to a blend of strong tannins and red fruit that can’t hide its charisma.",16.99,https://d207gb2bfvg73.cloudfront.net/16101182/hero@2x.jpg,MO,CO,France,Bordeaux,"Bordeaux, France",R,Bordeaux Blend,2015,,"Bordeaux’s reputation proves that typecasting isn’t reserved for movie stars. We all know which adjectives come to mind with those elite southwest France wines:  luxurious, pretentious and costly-as-an-iPhone. Yet the reality may surprise you. Of the 75 million cases Bordeaux produces annually, just 3% are priced higher than 15 Euros (about $17 U.S.); the remaining 97% is affordable and still very elegant. Our 2015 Nouvelle Ère Red, which blends 75% Merlot with 25% Cabernet Sauvignon, is proud to join that lineage. We sourced the fruit from Entre-Deux-Mers. While it’s recognized as the largest sub-region of Bordeaux, its size is misleading; the territory is mostly forest, leaving precious little acreage for vineyards like Château de Minvielle. This fascinating castle, built in 1610, occupies rare vineyard real estate. Its long-established traditions flirt with newer techniques such as concrete-tank fermentation, a modern process that maximizes fruitiness and soothes the tannic personality typical of Bordeaux. The wine’s intense structure and mouth-coating tannins, featuring aromas of red currant, violet and cedar, will shine today or after cellaring. Whether it’s decanted or poured alongside hearty fare like filet mignon or mushroom risotto, this Nouvelle Ère — meaning “new era” in French — will beckon the youthful wine enthusiasts who are shaking up Bordeaux’s traditional image.",3.9,12.99,,,11952,16101182,
winc11950,"2015 Brethren of the Road® ""Talk West"" Grenache","An elegant, dry-farmed Grenache made by Hobo Wine Company’s Kenny Likitprakong using minimal intervention",32.99,https://d207gb2bfvg73.cloudfront.net/16101180/hero@2x.jpg,WH,CO,United States,Alexander Valley,"Alexander Valley, California",R,Grenache,2015,,"The nomadic theme of Talk West offers a clear window into the soul of the mastermind behind this heady Grenache. Kenny Likitprakong, the winemaking partner who created this small-lot edition to our Brethren of the Road brand, is a wanderlust-driven, self-professed “hobo winemaker” whose stint in France sparked his allegiance to minimalist, non-interventionist methods. The Grenache grapes, harvested early to maintain acidity, hail from a sustainable, dry-farmed vineyard in Alexander Valley that employs head-trained century-old vines (meaning their growth is never tamed by wires). After undergoing native fermentation, the wine aged for nine months in neutral oak to showcase the fruit’s clarity. The payoff? An honest, refreshing red that’s a can’t-miss companion for roasted lamb, charcuterie, pâté or eggplant caponada. Talk West — vagabond slang for “speak hobo lingo”— is Kenny’s ode to a lost American era and its nomadic spirit.",3.8,24.99,,,11950,16101180,
winc10818,2013 Alma Libre Red Blend,"Alma Libre is an aroma adventure. You’ll start with smells of earth and spice, but keep swirling to discover dark berries.",16.99,https://d207gb2bfvg73.cloudfront.net/1503618/hero@2x.jpg,WH,CO,Chile,Colchagua Valley,"Colchagua Valley, Chile",R,Red Blend,2013,,,3.6,12.99,,,10818,1503618,
winc11895,2015 Salient Chardonnay,"A refined, exquisitely balanced Chardonnay from the Russian River-adjacent Dry Creek Valley.",36.99,https://d207gb2bfvg73.cloudfront.net/16081122/hero@2x.jpg,MO,CO,United States,Dry Creek Valley,"Dry Creek Valley, California",W,Chardonnay,2015,,"California’s Dry Creek Valley gets its name from Dry Creek, a tributary of the Russian River (sound familiar, Chardonnay fans?) that borders the 16-mile-long, two-mile-wide valley to the south. To craft our newest Salient, we hand-picked the fruit and fermented the juice in stainless steel. Then, we put two-thirds of it through malolactic fermentation and aged the wine in a combination of neutral French oak barrels and stainless steel tanks, all resulting in a still-bright Chardonnay with just a touch of that classic California butteriness. This is your special-occasion, dinner-party Chardonnay, so pair it accordingly. Our suggestions? Lobster, caramelized onion tarts, and buttered artichokes.",3.9,27.99,,,11895,16081122,
winc11866,2015 Copycat® Barbera,"Old World meets New World in our luscious, stainless steel-aged California version of the usually oaked Italian Barbera.",16.99,https://d207gb2bfvg73.cloudfront.net/16081096/hero@2x.jpg,WH,CO,United States,Paso Robles,"Paso Robles, California",R,Barbera,2015,,"The world’s most famous Barbera might come from Northern Italy, but we’ve got a California “copycat” that’s worthy of the same level of praise. We found this Barbera twin at a Sustainability in Practice-certified vineyard in Paso Robles!

Barbera’s story is somewhat rags-to-riches; the Wall Street Journal even called it the “Cinderella of Italian reds.” Once regarded as an ordinary grape suitable only for everyday table wine (it’s occasionally called the “wine of the people” in its homeland), Barbera originated in the same part of Italy that produces the country’s most celebrated vini: Barolo and Barbaresco. Today, though, Barbera commands respect in Italy and around the world thanks to a profusion of winemakers who’ve helped it realize its full, delicious potential.

Barbera is an interesting variety and somewhat of a paradox: dark in color and generally medium- to full-bodied, it displays heightened acid for a red wine. In other words, it tastes almost light and dark at the same time. Our Copycat showcases this classic Old World profile — but with a New World twist. While most Barbera ages in oak, ours fermented and aged entirely in stainless steel.

We opted for stainless over oak so we could create a Barbera that accentuates the true, pure nature of the fruit. The resulting Copycat spotlights a juicy lusciousness reminiscent of chocolate-covered berries while retaining the grape’s signature acidity and tart red cherry flavor. Open our Barbera with your choice of Italian cuisine, and save the bottle for the label — featuring Winc’s very own feline, Rooney!",4.0,12.99,,,11866,16081096,
